time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,weather_code,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,relative_humidity_2m_max,relative_humidity_2m_min,city,country,latitude,longitude
2019-01-01,24.6,14.2,18.2,12.7,3.5,0.0,0.0,0.0,0.0,3,24.5,47.5,326,5.62,75,39,Des Moines,USA,41.5868,-93.625
2019-01-02,33.8,14.9,23.2,22.6,6.1,0.0,0.0,0.0,0.0,3,23.1,47.9,228,8.25,61,31,Des Moines,USA,41.5868,-93.625
2019-01-03,49.6,24.9,34.4,39.6,15.2,0.0,0.0,0.0,0.0,3,21.0,41.4,228,8.31,64,24,Des Moines,USA,41.5868,-93.625
2019-01-04,49.3,28.6,36.7,42.8,21.3,0.0,0.0,0.0,0.0,0,15.2,30.6,266,8.31,83,42,Des Moines,USA,41.5868,-93.625
2019-01-05,52.2,31.2,38.2,47.7,24.2,0.0,0.0,0.0,0.0,3,12.0,21.2,293,8.41,89,57,Des Moines,USA,41.5868,-93.625
2019-01-06,47.4,31.1,38.6,39.7,24.1,0.9,0.9,0.0,3.0,53,30.6,57.2,113,3.92,91,72,Des Moines,USA,41.5868,-93.625
2019-01-07,50.8,41.5,46.9,46.1,34.9,3.8,3.8,0.0,8.0,55,23.1,47.5,235,6.93,94,61,Des Moines,USA,41.5868,-93.625
2019-01-08,45.0,30.5,38.8,35.2,16.5,0.4,0.4,0.0,2.0,51,35.1,73.4,292,8.9,81,40,Des Moines,USA,41.5868,-93.625
2019-01-09,29.5,18.1,22.9,15.6,4.8,0.0,0.0,0.0,0.0,3,29.1,55.4,321,9.0,57,31,Des Moines,USA,41.5868,-93.625
2019-01-10,34.1,18.0,24.5,24.3,9.1,0.0,0.0,0.0,0.0,3,15.9,31.7,121,8.96,57,30,Des Moines,USA,41.5868,-93.625
2019-01-11,36.0,25.0,30.8,27.6,16.7,1.7,0.0,1.19,6.0,73,13.1,27.4,125,2.22,89,49,Des Moines,USA,41.5868,-93.625
2019-01-12,30.6,27.7,29.0,21.4,18.9,13.8,0.0,9.66,22.0,73,19.6,37.4,57,2.79,94,88,Des Moines,USA,41.5868,-93.625
2019-01-13,29.4,10.9,21.0,20.9,1.9,0.0,0.0,0.0,0.0,3,14.8,29.2,2,8.65,95,82,Des Moines,USA,41.5868,-93.625
2019-01-14,31.0,11.8,24.9,22.8,3.0,0.0,0.0,0.0,0.0,3,15.4,30.2,227,5.65,93,88,Des Moines,USA,41.5868,-93.625
2019-01-15,31.4,24.7,28.2,23.8,18.1,0.0,0.0,0.0,0.0,3,17.3,35.3,232,4.59,97,93,Des Moines,USA,41.5868,-93.625
2019-01-16,27.4,17.1,24.0,19.3,8.6,0.0,0.0,0.0,0.0,3,15.5,28.8,19,6.17,93,75,Des Moines,USA,41.5868,-93.625
2019-01-17,30.6,16.4,26.3,23.4,7.8,0.2,0.0,0.21,2.0,71,10.2,21.2,320,3.91,94,77,Des Moines,USA,41.5868,-93.625
2019-01-18,23.5,9.7,19.1,13.9,0.3,5.9,0.0,4.13,7.0,75,25.0,45.7,52,2.94,91,74,Des Moines,USA,41.5868,-93.625
2019-01-19,20.7,-0.8,10.6,8.2,-11.1,1.5,0.0,1.05,6.0,73,27.7,52.2,357,9.61,87,69,Des Moines,USA,41.5868,-93.625
2019-01-20,7.8,-3.8,2.2,-1.2,-13.5,0.7,0.0,0.49,6.0,71,11.6,22.7,49,5.72,83,70,Des Moines,USA,41.5868,-93.625
2019-01-21,16.9,-0.1,7.8,4.4,-10.9,0.0,0.0,0.0,0.0,3,29.8,55.4,120,7.69,84,76,Des Moines,USA,41.5868,-93.625
2019-01-22,28.6,17.8,24.1,21.4,4.9,7.8,0.0,5.46,15.0,73,26.6,48.2,54,2.49,92,81,Des Moines,USA,41.5868,-93.625
2019-01-23,18.8,11.7,15.2,7.9,2.2,4.4,0.1,3.01,10.0,73,24.2,45.0,309,10.19,86,74,Des Moines,USA,41.5868,-93.625
2019-01-24,23.0,-1.7,12.4,9.9,-12.9,0.0,0.0,0.0,0.0,3,36.3,67.0,314,10.77,84,58,Des Moines,USA,41.5868,-93.625
2019-01-25,16.6,-12.0,0.3,8.6,-22.4,0.0,0.0,0.0,0.0,3,18.4,32.4,260,8.36,81,70,Des Moines,USA,41.5868,-93.625
2019-01-26,27.4,-10.7,8.4,18.2,-20.4,1.1,0.0,0.77,3.0,73,20.1,37.1,240,6.54,86,79,Des Moines,USA,41.5868,-93.625
2019-01-27,28.9,-5.9,7.3,17.3,-14.7,3.5,0.1,2.38,8.0,75,26.4,47.9,131,4.13,91,78,Des Moines,USA,41.5868,-93.625
2019-01-28,37.1,4.5,16.5,26.3,-8.8,0.5,0.3,0.14,3.0,71,39.8,83.9,304,7.95,88,65,Des Moines,USA,41.5868,-93.625
2019-01-29,6.6,-6.9,1.0,-6.4,-21.2,0.0,0.0,0.0,0.0,3,29.7,60.1,301,11.71,75,48,Des Moines,USA,41.5868,-93.625
2019-01-30,-9.7,-22.6,-16.5,-18.0,-33.8,0.0,0.0,0.0,0.0,3,31.9,59.4,295,12.03,74,53,Des Moines,USA,41.5868,-93.625
2019-01-31,2.0,-22.5,-8.4,-8.5,-32.5,0.5,0.0,0.35,5.0,71,17.2,33.8,131,6.18,82,71,Des Moines,USA,41.5868,-93.625
2019-02-01,30.0,-4.6,7.5,20.7,-13.4,0.0,0.0,0.0,0.0,3,18.1,31.3,141,11.09,87,81,Des Moines,USA,41.5868,-93.625
2019-02-02,46.3,32.6,40.5,39.5,22.9,0.5,0.5,0.0,5.0,51,22.5,40.7,209,5.95,98,87,Des Moines,USA,41.5868,-93.625
2019-02-03,54.3,44.1,49.2,50.5,39.7,0.1,0.1,0.0,1.0,51,24.4,45.0,194,4.34,98,90,Des Moines,USA,41.5868,-93.625
2019-02-04,50.4,11.8,29.6,45.1,1.1,1.5,1.5,0.0,7.0,51,26.7,54.0,306,11.59,96,23,Des Moines,USA,41.5868,-93.625
2019-02-05,26.6,8.7,16.8,18.0,-1.7,0.8,0.6,0.14,6.0,71,16.6,43.6,20,6.15,73,37,Des Moines,USA,41.5868,-93.625
2019-02-06,33.0,16.2,24.2,26.0,8.0,0.8,0.7,0.07,3.0,71,16.6,35.6,340,7.22,79,56,Des Moines,USA,41.5868,-93.625
2019-02-07,23.3,3.5,12.8,14.0,-11.3,3.1,0.0,2.24,10.0,73,35.0,69.1,302,7.27,74,45,Des Moines,USA,41.5868,-93.625
2019-02-08,13.5,-2.0,5.0,3.4,-14.4,0.0,0.0,0.0,0.0,0,29.2,55.8,295,13.3,60,27,Des Moines,USA,41.5868,-93.625
2019-02-09,28.6,5.0,14.9,16.6,-5.6,0.0,0.0,0.0,0.0,3,21.6,45.7,125,12.61,57,24,Des Moines,USA,41.5868,-93.625
2019-02-10,25.9,15.4,23.3,19.8,7.0,6.1,0.1,4.2,11.0,75,17.8,33.1,113,3.19,95,40,Des Moines,USA,41.5868,-93.625
2019-02-11,29.1,15.3,24.4,20.5,7.1,9.1,0.0,6.37,10.0,75,18.2,36.4,73,4.51,94,82,Des Moines,USA,41.5868,-93.625
2019-02-12,28.1,9.0,20.9,20.4,-4.5,2.5,0.0,1.75,10.0,73,36.2,68.4,305,9.56,94,73,Des Moines,USA,41.5868,-93.625
2019-02-13,31.5,0.0,10.8,22.1,-8.3,0.0,0.0,0.0,0.0,3,25.6,47.9,200,12.48,83,69,Des Moines,USA,41.5868,-93.625
2019-02-14,36.3,6.6,26.8,29.6,-5.9,0.0,0.0,0.0,0.0,3,35.6,69.5,298,12.07,87,75,Des Moines,USA,41.5868,-93.625
2019-02-15,11.4,-2.7,4.9,1.3,-13.4,0.0,0.0,0.0,0.0,3,21.9,40.7,330,6.84,76,65,Des Moines,USA,41.5868,-93.625
2019-02-16,20.9,-2.5,10.4,11.6,-11.7,1.7,0.0,1.19,2.0,75,16.9,34.9,67,14.07,83,59,Des Moines,USA,41.5868,-93.625
2019-02-17,25.7,20.9,23.7,17.5,12.3,10.4,0.1,7.21,24.0,75,19.4,36.0,45,6.85,91,80,Des Moines,USA,41.5868,-93.625
2019-02-18,22.4,3.9,14.5,13.1,-4.7,0.4,0.0,0.28,4.0,71,15.6,29.9,337,14.34,89,77,Des Moines,USA,41.5868,-93.625
2019-02-19,20.3,-8.7,5.0,8.4,-17.2,1.3,0.0,0.91,5.0,73,24.1,44.3,73,10.4,88,79,Des Moines,USA,41.5868,-93.625
2019-02-20,30.3,20.7,26.4,19.5,9.4,9.7,0.1,6.72,15.0,75,29.7,56.2,191,7.25,93,76,Des Moines,USA,41.5868,-93.625
2019-02-21,20.8,9.9,15.6,14.2,0.4,0.0,0.0,0.0,0.0,3,19.7,34.2,288,15.06,87,72,Des Moines,USA,41.5868,-93.625
2019-02-22,31.6,9.5,18.8,22.9,0.5,0.4,0.4,0.0,3.0,51,17.7,32.4,86,12.28,87,75,Des Moines,USA,41.5868,-93.625
